trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100058.60440008018,0.0,0.0
2,2023-06-28 19:42:00+00:00,2023-06-28 22:00:00+00:00,99732.69208246267,325.9123176175053,0.32572143052721225
3,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,100083.79869609704,0.0,0.0
4,2023-07-05 18:36:00+00:00,2023-07-05 21:10:00+00:00,100298.33775059547,0.0,0.0
5,2023-07-11 16:59:00+00:00,2023-07-11 19:21:00+00:00,100776.21719092168,0.0,0.0
6,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,100992.24354817216,0.0,0.0
7,2023-07-19 19:40:00+00:00,2023-07-19 21:38:00+00:00,101353.26585664427,0.0,0.0
8,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,101776.54893395718,0.0,0.0
9,2023-07-25 18:51:00+00:00,2023-07-25 21:08:00+00:00,102012.54127961783,0.0,0.0
10,2023-08-01 17:43:00+00:00,2023-08-01 18:30:00+00:00,102596.34114485444,0.0,0.0
11,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,102816.11271202339,0.0,0.0
12,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,103059.15425327273,0.0,0.0
13,2023-08-16 16:30:00+00:00,2023-08-16 18:07:00+00:00,101131.42288667076,1927.7313666019763,1.8705095928348934
14,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,101569.85601041766,1489.298242855075,1.4450906895617
15,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,101038.7096929857,2020.4445602870255,1.9604707363711598
16,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,101300.79702064549,1758.3572326272406,1.7061630724292522
17,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,102597.87092366617,461.28332960656553,0.447590835524363
18,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,103980.20927745156,0.0,0.0
19,2023-09-13 19:02:00+00:00,2023-09-13 22:00:00+00:00,104304.87425485467,0.0,0.0
20,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,105154.25349274416,0.0,0.0
21,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,105560.05306132084,0.0,0.0
22,2023-09-22 18:50:00+00:00,2023-09-24 21:03:00+00:00,105883.91744365971,0.0,0.0
23,2023-09-26 18:36:00+00:00,2023-09-26 22:00:00+00:00,106098.87619234438,0.0,0.0
24,2023-10-17 17:53:00+00:00,2023-10-17 19:55:00+00:00,106672.66283011826,0.0,0.0
25,2023-10-17 17:16:00+00:00,2023-10-17 22:00:00+00:00,106579.63552492252,93.02730519574834,0.0872081962966455
26,2023-10-17 20:32:00+00:00,2023-10-17 22:00:00+00:00,106828.4306179197,0.0,0.0
27,2023-10-31 20:48:00+00:00,2023-10-31 21:19:00+00:00,107224.13771027933,0.0,0.0
28,2023-10-31 20:35:00+00:00,2023-10-31 22:00:00+00:00,107375.60098957224,0.0,0.0
29,2023-11-08 18:02:00+00:00,2023-11-08 22:03:00+00:00,106925.22238489521,450.3786046770256,0.4194422201378542
30,2023-11-08 19:55:00+00:00,2023-11-08 22:03:00+00:00,107559.85481989144,0.0,0.0
31,2023-11-10 17:29:00+00:00,2023-11-12 22:03:00+00:00,107991.1027888978,0.0,0.0
32,2023-11-17 18:59:00+00:00,2023-11-17 19:56:00+00:00,108391.98835878634,0.0,0.0
33,2023-12-06 20:11:00+00:00,2023-12-06 22:03:00+00:00,108990.1251738799,0.0,0.0
34,2024-01-10 21:04:00+00:00,2024-01-10 22:03:00+00:00,109668.30413188192,0.0,0.0
35,2024-01-12 19:28:00+00:00,2024-01-12 20:05:00+00:00,109911.40240821856,0.0,0.0
36,2024-01-12 19:15:00+00:00,2024-01-12 21:00:00+00:00,110284.30994716188,0.0,0.0
37,2024-01-26 18:51:00+00:00,2024-01-26 19:56:00+00:00,110520.71304377398,0.0,0.0
38,2024-01-26 19:04:00+00:00,2024-01-26 19:57:00+00:00,110797.31765479839,0.0,0.0
39,2024-01-26 18:32:00+00:00,2024-01-28 22:03:00+00:00,110367.67397194511,429.6436828532751,0.38777444431631347
40,2024-02-27 18:15:00+00:00,2024-02-27 19:30:00+00:00,111138.1733952298,0.0,0.0
41,2024-03-05 19:05:00+00:00,2024-03-05 22:04:00+00:00,111228.25981840104,0.0,0.0
42,2024-03-15 19:57:00+00:00,2024-03-17 21:04:00+00:00,111947.02815365768,0.0,0.0
43,2024-03-27 19:38:00+00:00,2024-03-27 22:00:00+00:00,111555.5283972454,391.499756412275,0.3497187579422879
44,2024-03-27 20:00:00+00:00,2024-03-27 22:00:00+00:00,111308.43896346602,638.589190191662,0.5704387161713119
45,2024-03-27 21:17:00+00:00,2024-03-27 22:00:00+00:00,111465.67814892741,481.35000473026594,0.42998015460452277
46,2024-04-03 16:36:00+00:00,2024-04-03 22:00:00+00:00,111272.37548668716,674.6526669705199,0.6026534854006991
47,2024-04-03 21:06:00+00:00,2024-04-03 22:00:00+00:00,110942.6444700467,1004.383683610984,0.8971954862726452
48,2024-04-05 19:57:00+00:00,2024-04-07 21:04:00+00:00,110927.1774150992,1019.8507385584817,0.9110118914087133
49,2024-04-10 20:49:00+00:00,2024-04-10 21:16:00+00:00,111319.19129235197,627.83686130571,0.5608338797917402
50,2024-04-10 21:06:00+00:00,2024-04-10 21:16:00+00:00,111711.15623605889,235.87191759879352,0.21069957951455168
51,2024-04-12 18:24:00+00:00,2024-04-14 21:04:00+00:00,112155.75725378076,0.0,0.0
52,2024-04-12 18:36:00+00:00,2024-04-14 21:04:00+00:00,112591.93725613604,0.0,0.0
53,2024-04-19 18:16:00+00:00,2024-04-21 21:04:00+00:00,112571.08122880971,20.85602732632833,0.018523553137630835
54,2024-05-03 19:42:00+00:00,2024-05-03 20:50:00+00:00,112812.2256710343,0.0,0.0
55,2024-05-07 18:02:00+00:00,2024-05-07 21:19:00+00:00,113242.72492319411,0.0,0.0
56,2024-05-07 17:24:00+00:00,2024-05-07 22:00:00+00:00,112788.76690346215,453.9580197319592,0.4008716851699324
57,2024-05-22 18:29:00+00:00,2024-05-22 22:00:00+00:00,112128.41497461752,1114.3099485765852,0.9840013557889535
58,2024-05-22 19:19:00+00:00,2024-05-22 22:00:00+00:00,111850.34176262068,1392.3831605734304,1.2295563900619684
59,2024-05-28 17:05:00+00:00,2024-05-28 22:00:00+00:00,110421.3932155545,2821.331707639605,2.491402171356393
60,2024-05-28 17:22:00+00:00,2024-05-28 22:00:00+00:00,109412.55767203213,3830.1672511619836,3.3822634114109857
