trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2025-05-20 18:14:00+00:00,2025-05-20 22:00:00+00:00,99200.36987836563,0.0,0.0
2,2025-05-21 17:12:00+00:00,2025-05-21 19:08:00+00:00,99487.90705744151,0.0,0.0
3,2025-05-23 17:48:00+00:00,2025-05-23 18:03:00+00:00,99760.64502685974,0.0,0.0
4,2025-05-23 18:26:00+00:00,2025-05-23 20:59:00+00:00,100047.36874920968,0.0,0.0
5,2025-05-30 16:44:00+00:00,2025-05-30 20:58:00+00:00,100411.2409944075,0.0,0.0
6,2025-06-03 20:02:00+00:00,2025-06-03 20:50:00+00:00,100741.06855572475,0.0,0.0
7,2025-06-06 20:54:00+00:00,2025-06-08 21:04:00+00:00,100335.52852130707,405.5400344176742,0.40255681246159347
8,2025-06-11 18:06:00+00:00,2025-06-11 18:53:00+00:00,100700.44804942152,40.62050630322483,0.04032169490117694
9,2025-06-17 17:11:00+00:00,2025-06-17 17:36:00+00:00,100982.73681481274,0.0,0.0
10,2025-06-17 18:51:00+00:00,2025-06-17 20:03:00+00:00,101329.42191616619,0.0,0.0
11,2025-06-17 19:04:00+00:00,2025-06-17 20:03:00+00:00,101630.93499165947,0.0,0.0
12,2025-06-20 20:03:00+00:00,2025-06-20 20:40:00+00:00,102029.78512430977,0.0,0.0
13,2025-06-20 18:56:00+00:00,2025-06-22 21:04:00+00:00,99748.56187263942,2281.2232516703516,2.2358404939214402
14,2025-07-23 18:30:00+00:00,2025-07-23 19:50:00+00:00,100273.64219423383,1756.1429300759337,1.7212061438101691
15,2025-09-02 17:58:00+00:00,2025-09-02 18:48:00+00:00,99061.40767584043,2968.377448469342,2.909324414290168
16,2025-09-10 19:25:00+00:00,2025-09-10 22:00:00+00:00,98869.33434259477,3160.4507817150006,3.0975766320240803
17,2025-09-10 19:36:00+00:00,2025-09-10 22:00:00+00:00,99031.64721195576,2998.13791235401,2.938492822170679
18,2025-09-24 18:47:00+00:00,2025-09-24 22:00:00+00:00,98955.74064599068,3074.0444783190906,3.012889299505801
19,2025-10-01 18:35:00+00:00,2025-10-01 19:48:00+00:00,99501.13554598161,2528.649578328157,2.478344510132343
20,2025-10-14 19:45:00+00:00,2025-10-14 19:54:00+00:00,99788.4021705649,2241.382953744862,2.196792780670893
21,2025-10-15 17:12:00+00:00,2025-10-15 17:33:00+00:00,100784.59431120785,1245.1908131019154,1.2204189311825124
22,2025-10-15 20:06:00+00:00,2025-10-15 22:00:00+00:00,99406.85194095687,2622.9331833528995,2.5707524328873212
23,2025-10-15 20:46:00+00:00,2025-10-15 22:00:00+00:00,98320.59841013199,3709.1867141777766,3.635395987219442
24,2025-10-21 16:49:00+00:00,2025-10-21 17:04:00+00:00,98840.44617658868,3189.3389477210876,3.1258900955591558
25,2025-10-24 18:29:00+00:00,2025-10-24 20:32:00+00:00,99157.92539143747,2871.859732872297,2.8147268264588785
26,2025-10-28 19:13:00+00:00,2025-10-28 20:43:00+00:00,99552.38860222443,2477.3965220853424,2.428111084490635
27,2025-10-28 19:25:00+00:00,2025-10-28 20:43:00+00:00,100166.36380760171,1863.4213167080597,1.8263503294040342
28,2025-10-29 16:02:00+00:00,2025-10-29 16:06:00+00:00,100738.55357397781,1291.231550331955,1.265543731919812
29,2025-11-21 19:55:00+00:00,2025-11-21 20:27:00+00:00,101314.44544529945,715.3396790103143,0.7011086793319888
30,2025-11-25 20:04:00+00:00,2025-11-25 20:55:00+00:00,102764.26719266063,0.0,0.0
31,2025-12-05 21:45:00+00:00,2025-12-07 22:04:00+00:00,103285.52853932303,0.0,0.0
32,2025-12-12 19:21:00+00:00,2025-12-12 20:42:00+00:00,103551.20474000782,0.0,0.0
33,2025-12-19 17:22:00+00:00,2025-12-19 18:03:00+00:00,104090.92500021507,0.0,0.0
34,2025-12-23 19:15:00+00:00,2025-12-23 21:31:00+00:00,104474.89592807712,0.0,0.0
35,2025-12-26 21:51:00+00:00,2025-12-28 22:04:00+00:00,105125.7822594743,0.0,0.0
36,2025-12-31 18:37:00+00:00,2025-12-31 19:56:00+00:00,106107.7527847297,0.0,0.0
37,2026-01-16 20:14:00+00:00,2026-01-18 22:04:00+00:00,104495.30449171575,1612.4482930139493,1.51963287384407
38,2026-01-23 16:05:00+00:00,2026-01-23 16:18:00+00:00,104763.92140980496,1343.8313749247463,1.2664780279072514
39,2026-02-24 21:07:00+00:00,2026-02-24 22:04:00+00:00,104616.35167435276,1491.4011103769444,1.4055533844003683
40,2026-02-27 19:31:00+00:00,2026-02-27 20:04:00+00:00,104918.66779610587,1189.0849886238284,1.120639121475159
41,2026-03-04 16:12:00+00:00,2026-03-04 18:47:00+00:00,105465.89071553465,641.8620691950491,0.6049153359201304
