trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100036.35570842495,0.0,0.0
2,2023-06-28 19:42:00+00:00,2023-06-28 22:00:00+00:00,99694.22392345157,342.13178497337503,0.3420074457436089
3,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,100003.34673707353,33.00897135141713,0.032996975067372585
4,2023-07-05 18:36:00+00:00,2023-07-05 21:10:00+00:00,100228.43182263958,0.0,0.0
5,2023-07-06 19:41:00+00:00,2023-07-06 22:00:00+00:00,100004.45352183674,223.9783008028462,0.22346782916766542
6,2023-07-11 16:59:00+00:00,2023-07-11 19:21:00+00:00,100399.3383198649,0.0,0.0
7,2023-07-13 18:36:00+00:00,2023-07-13 18:43:00+00:00,100625.15481076986,0.0,0.0
8,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,100851.64258213238,0.0,0.0
9,2023-07-19 19:40:00+00:00,2023-07-19 21:38:00+00:00,101230.18853497191,0.0,0.0
10,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,101609.93511352666,0.0,0.0
11,2023-07-24 21:38:00+00:00,2023-07-24 22:00:00+00:00,101036.18932569478,573.7457878318819,0.5646552054096361
12,2023-07-24 21:59:00+00:00,2023-07-24 22:00:00+00:00,100605.96878892308,1003.966324603578,0.9880592124007039
13,2023-07-25 18:51:00+00:00,2023-07-25 21:08:00+00:00,100850.911125779,759.0239877476561,0.7469978077435188
14,2023-07-31 18:35:00+00:00,2023-07-31 22:00:00+00:00,100233.38146232994,1376.553651196722,1.3547431652807644
15,2023-07-31 18:45:00+00:00,2023-07-31 22:00:00+00:00,99539.89522130915,2070.039892217508,2.0372416239659
16,2023-08-01 17:43:00+00:00,2023-08-01 18:30:00+00:00,100138.02701605551,1471.9080974711542,1.4485867900876248
17,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,100363.25774796067,1246.6773655659927,1.226924674416046
18,2023-08-07 20:30:00+00:00,2023-08-07 22:00:00+00:00,100734.93669016626,874.9984233604046,0.8611347132372313
19,2023-08-10 17:30:00+00:00,2023-08-10 17:40:00+00:00,99602.60892598123,2007.3261875454336,1.9755215720812045
20,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,99826.79187349357,1783.143240033096,1.7548906394250003
21,2023-08-14 19:02:00+00:00,2023-08-14 19:55:00+00:00,100201.27093520766,1408.664178318999,1.3863449245835338
22,2023-08-14 18:48:00+00:00,2023-08-14 21:03:00+00:00,99079.14642882333,2530.788684703337,2.490690188784925
23,2023-08-16 16:30:00+00:00,2023-08-16 17:27:00+00:00,97966.033551815,3643.9015617116675,3.5861666062874784
24,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,98355.40088568689,3254.534227839773,3.202968513072614
25,2023-08-21 19:46:00+00:00,2023-08-21 22:00:00+00:00,98576.55720777066,3033.3779057560023,2.9853162511784626
26,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,98035.28892046693,3574.646193059729,3.5180085383046955
27,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,98302.30032479383,3307.63478873283,3.2552277344112848
28,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,99623.91326575691,1986.021847769749,1.9545547839891917
