trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2024-11-08 20:44:00+00:00,2024-11-10 22:04:00+00:00,100351.52593844892,0.0,0.0
2,2024-12-17 17:11:00+00:00,2024-12-17 20:58:00+00:00,101052.9141657666,0.0,0.0
3,2024-12-24 19:06:00+00:00,2024-12-24 20:37:00+00:00,101493.52978184949,0.0,0.0
4,2024-12-27 20:00:00+00:00,2024-12-27 20:48:00+00:00,101721.9623301474,0.0,0.0
5,2025-01-14 17:27:00+00:00,2025-01-14 18:22:00+00:00,102087.70287458813,0.0,0.0
6,2025-02-11 19:35:00+00:00,2025-02-11 19:40:00+00:00,102606.45704923541,0.0,0.0
7,2025-02-11 18:30:00+00:00,2025-02-11 19:43:00+00:00,102838.89768988702,0.0,0.0
8,2025-02-14 19:44:00+00:00,2025-02-14 21:00:00+00:00,103251.06132475991,0.0,0.0
9,2025-02-14 19:59:00+00:00,2025-02-14 21:00:00+00:00,103621.9498606504,0.0,0.0
10,2025-02-25 20:59:00+00:00,2025-02-25 21:29:00+00:00,103855.0205935738,0.0,0.0
11,2025-03-28 20:11:00+00:00,2025-03-28 20:55:00+00:00,104583.52942289443,0.0,0.0
12,2025-05-20 18:14:00+00:00,2025-05-20 22:00:00+00:00,103852.97193687523,730.5574860191991,0.6985397127544947
13,2025-05-23 17:48:00+00:00,2025-05-23 18:03:00+00:00,104102.088464966,481.44095792842563,0.4603410886829692
14,2025-05-23 18:26:00+00:00,2025-05-25 21:04:00+00:00,104336.23580738046,247.2936155139614,0.23645560336179117
15,2025-05-30 16:44:00+00:00,2025-05-30 17:20:00+00:00,103160.82221982116,1422.707203073267,1.3603549343992798
16,2025-06-03 20:02:00+00:00,2025-06-03 20:50:00+00:00,103452.20887491028,1131.3205479841417,1.0817387347959246
17,2025-06-17 17:11:00+00:00,2025-06-17 17:36:00+00:00,103705.96133785379,877.5680850406352,0.8391073526425916
18,2025-06-17 18:51:00+00:00,2025-06-17 20:03:00+00:00,104023.60226593917,559.9271569552511,0.5353875127804563
19,2025-06-17 19:04:00+00:00,2025-06-17 20:03:00+00:00,104300.1538285833,283.37559431113186,0.27095623553233994
20,2025-06-20 18:56:00+00:00,2025-06-20 19:52:00+00:00,103128.38351477419,1455.1459081202338,1.3913719647347138
21,2025-09-02 17:58:00+00:00,2025-09-02 18:47:00+00:00,101969.12781737652,2614.401605517909,2.499821549286507
22,2025-10-14 19:45:00+00:00,2025-10-14 19:54:00+00:00,102198.482465717,2385.04695717743,2.2805187110613216
23,2025-10-21 16:49:00+00:00,2025-10-21 17:05:00+00:00,102658.91272438345,1924.616698510974,1.8402674963555545
24,2025-10-24 18:29:00+00:00,2025-10-24 20:32:00+00:00,102944.44675291546,1639.0826699789613,1.5672474232067264
25,2025-10-28 19:13:00+00:00,2025-10-28 20:43:00+00:00,103330.36100870557,1253.1684141888545,1.198246436225667
26,2025-10-28 19:25:00+00:00,2025-10-28 20:43:00+00:00,103924.42753387234,659.1018890220876,0.6302157640491748
27,2025-11-21 19:55:00+00:00,2025-11-21 20:27:00+00:00,104503.23397468208,80.29544821234595,0.0767763802344659
28,2025-11-25 20:04:00+00:00,2025-11-25 20:55:00+00:00,105962.67932485402,0.0,0.0
29,2025-12-12 19:21:00+00:00,2025-12-12 20:42:00+00:00,106201.17142850619,0.0,0.0
30,2025-12-19 17:22:00+00:00,2025-12-19 18:03:00+00:00,106736.75019464176,0.0,0.0
31,2025-12-23 19:15:00+00:00,2025-12-23 21:31:00+00:00,107055.6711738467,0.0,0.0
32,2025-12-26 21:51:00+00:00,2025-12-28 22:04:00+00:00,107591.83030421512,0.0,0.0
33,2026-01-16 20:14:00+00:00,2026-01-18 22:04:00+00:00,106557.77281015164,1034.0574940634833,0.9610929483583404
34,2026-01-23 16:05:00+00:00,2026-01-23 16:18:00+00:00,106797.4518412051,794.3784630100272,0.7383260055748915
35,2026-02-24 21:07:00+00:00,2026-02-24 22:04:00+00:00,106654.29286609976,937.537438115367,0.8713834828020739
36,2026-02-27 19:31:00+00:00,2026-02-27 20:05:00+00:00,106916.23375405923,675.5965501558967,0.6279255109292707
