trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2024-11-08 20:44:00+00:00,2024-11-10 22:04:00+00:00,100359.26120976261,0.0,0.0
2,2024-12-17 17:11:00+00:00,2024-12-17 20:55:00+00:00,101150.35405213475,0.0,0.0
3,2024-12-24 19:06:00+00:00,2024-12-24 20:37:00+00:00,101627.00070792073,0.0,0.0
4,2024-12-27 20:00:00+00:00,2024-12-27 20:48:00+00:00,101855.73362918834,0.0,0.0
5,2025-01-10 21:19:00+00:00,2025-01-12 22:04:00+00:00,102133.73719519521,0.0,0.0
6,2025-01-14 17:27:00+00:00,2025-01-14 18:46:00+00:00,102781.39247059882,0.0,0.0
7,2025-02-11 19:35:00+00:00,2025-02-11 19:40:00+00:00,103339.8660540612,0.0,0.0
8,2025-02-11 18:30:00+00:00,2025-02-11 19:41:00+00:00,103669.65972346393,0.0,0.0
9,2025-02-14 19:44:00+00:00,2025-02-14 21:00:00+00:00,104121.55676533405,0.0,0.0
10,2025-02-14 19:59:00+00:00,2025-02-14 21:00:00+00:00,104531.85189065464,0.0,0.0
11,2025-02-25 20:59:00+00:00,2025-02-25 22:04:00+00:00,104738.40050974584,0.0,0.0
12,2025-03-28 20:11:00+00:00,2025-03-28 20:55:00+00:00,105570.21285208072,0.0,0.0
13,2025-05-20 18:14:00+00:00,2025-05-20 22:00:00+00:00,104832.76269856871,737.4501535120071,0.6985399892536757
14,2025-05-23 17:48:00+00:00,2025-05-25 21:04:00+00:00,104537.92892830003,1032.283923780691,0.9778174125944709
15,2025-05-23 18:26:00+00:00,2025-05-25 21:04:00+00:00,104403.82970549597,1166.383146584747,1.1048411432295018
16,2025-05-30 16:44:00+00:00,2025-05-30 17:20:00+00:00,103227.65389831859,2342.558953762127,2.218958255814445
17,2025-06-03 20:02:00+00:00,2025-06-03 20:50:00+00:00,103555.54394785526,2014.6689042254584,1.9083687053357594
18,2025-06-06 20:54:00+00:00,2025-06-08 21:04:00+00:00,103179.88250695216,2390.330345128561,2.2642090799587216
19,2025-06-17 18:51:00+00:00,2025-06-17 20:01:00+00:00,103561.7779444869,2008.4349075938226,1.9024636337599634
20,2025-06-17 19:04:00+00:00,2025-06-17 20:01:00+00:00,103904.60071233241,1665.6121397483075,1.577729261645113
21,2025-06-17 17:11:00+00:00,2025-06-17 22:00:00+00:00,103613.3713565346,1956.8414955461194,1.8535924506356165
22,2025-06-20 18:56:00+00:00,2025-06-20 19:52:00+00:00,102449.3169895603,3120.8958625204104,2.9562276879115905
23,2025-09-02 17:58:00+00:00,2025-09-02 18:47:00+00:00,101297.69437587075,4272.518476209967,4.0470871098805015
24,2025-10-14 19:45:00+00:00,2025-10-14 19:54:00+00:00,101525.53862794732,4044.6742241333995,3.831264629352011
25,2025-10-21 16:49:00+00:00,2025-10-21 22:00:00+00:00,101686.59078395618,3883.6220681245322,3.6787100861168613
26,2025-10-24 18:29:00+00:00,2025-10-24 20:30:00+00:00,102005.1907684082,3565.0220836725202,3.376920427988183
27,2025-10-28 19:25:00+00:00,2025-10-28 20:43:00+00:00,102675.7327995774,2894.4800525033206,2.74175828039573
28,2025-10-28 19:13:00+00:00,2025-10-28 22:00:00+00:00,103310.94963713724,2259.2632149434794,2.140057459303447
29,2025-11-21 19:55:00+00:00,2025-11-21 20:27:00+00:00,104023.3392780008,1546.8735740799166,1.465255712089273
30,2025-11-25 20:04:00+00:00,2025-11-25 20:54:00+00:00,105619.03964882626,0.0,0.0
31,2025-12-05 21:45:00+00:00,2025-12-07 22:04:00+00:00,106088.94381452647,0.0,0.0
32,2025-12-12 19:21:00+00:00,2025-12-12 20:26:00+00:00,106368.33573566223,0.0,0.0
33,2025-12-19 17:22:00+00:00,2025-12-19 18:03:00+00:00,107039.53055602979,0.0,0.0
34,2025-12-23 19:15:00+00:00,2025-12-23 21:31:00+00:00,107359.35654662318,0.0,0.0
35,2025-12-26 21:51:00+00:00,2025-12-28 22:04:00+00:00,107897.03670769405,0.0,0.0
36,2026-01-16 20:14:00+00:00,2026-01-18 22:04:00+00:00,106860.04463631788,1036.9920713761676,0.9610941162225826
37,2026-01-23 16:05:00+00:00,2026-01-23 16:18:00+00:00,107103.2187262396,793.8179814544419,0.7357180564698821
38,2026-02-24 21:07:00+00:00,2026-02-24 22:04:00+00:00,106960.05975113426,936.9769565597817,0.8683991564088679
39,2026-02-27 19:31:00+00:00,2026-02-27 20:04:00+00:00,107260.3385422294,636.6981654646515,0.5900979163955566
