trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2025-05-20 18:14:00+00:00,2025-05-20 22:00:00+00:00,99300.32385861907,0.0,0.0
2,2025-05-23 17:48:00+00:00,2025-05-25 21:04:00+00:00,99024.60283543,275.721023189064,0.2776637703434156
3,2025-05-23 18:26:00+00:00,2025-05-25 21:04:00+00:00,98893.00378841542,407.32007020365563,0.41019007227366766
4,2025-05-30 16:44:00+00:00,2025-05-30 17:20:00+00:00,97778.9110018103,1521.4128568087763,1.5321328246370272
5,2025-06-03 20:02:00+00:00,2025-06-03 20:50:00+00:00,98094.3429514383,1205.9809071807686,1.2144783222437516
6,2025-06-06 20:54:00+00:00,2025-06-08 21:04:00+00:00,97734.17581751136,1566.1480411077064,1.577183215774344
7,2025-06-17 18:51:00+00:00,2025-06-17 20:01:00+00:00,98090.1546490752,1210.1692095438775,1.218696135640888
8,2025-06-17 19:04:00+00:00,2025-06-17 20:01:00+00:00,98409.59304634164,890.7308122774266,0.8970069559346285
9,2025-06-17 17:11:00+00:00,2025-06-17 22:00:00+00:00,98143.1027015272,1157.2211570918735,1.165375007980328
10,2025-06-20 18:56:00+00:00,2025-06-20 19:52:00+00:00,97040.50537752618,2259.818481092894,2.275741300008607
11,2025-09-02 17:58:00+00:00,2025-09-02 18:48:00+00:00,95949.68261140064,3350.641247218431,3.3742500699081073
12,2025-10-14 19:45:00+00:00,2025-10-14 19:54:00+00:00,96165.49795123786,3134.825907381208,3.1569140820169754
13,2025-10-21 16:49:00+00:00,2025-10-21 22:00:00+00:00,96336.71996053078,2963.6038980882877,2.9844856319983215
14,2025-10-24 18:29:00+00:00,2025-10-24 20:30:00+00:00,96641.36626537477,2658.9575932442967,2.6776927707003693
15,2025-10-28 19:13:00+00:00,2025-10-28 20:43:00+00:00,97045.07485972153,2255.248998897543,2.2711396209628694
16,2025-10-28 19:25:00+00:00,2025-10-28 20:43:00+00:00,97686.37593394467,1613.9479246744013,1.6253199002374794
17,2025-11-21 19:55:00+00:00,2025-11-21 20:27:00+00:00,98363.49059994593,936.8332586731412,0.9434342429808963
18,2025-11-25 20:04:00+00:00,2025-11-25 20:54:00+00:00,99883.548238222,0.0,0.0
19,2025-12-05 21:45:00+00:00,2025-12-07 22:04:00+00:00,100326.86588010215,0.0,0.0
20,2025-12-12 19:21:00+00:00,2025-12-12 20:26:00+00:00,100592.38794419498,0.0,0.0
21,2025-12-19 17:22:00+00:00,2025-12-19 18:03:00+00:00,101261.3043436207,0.0,0.0
22,2025-12-23 19:15:00+00:00,2025-12-23 21:31:00+00:00,101566.6893495952,0.0,0.0
23,2025-12-26 21:51:00+00:00,2025-12-28 22:04:00+00:00,102094.14121379508,0.0,0.0
24,2026-01-16 20:14:00+00:00,2026-01-18 22:04:00+00:00,101118.29395665621,975.8472571388702,0.95583081020815
25,2026-01-23 16:05:00+00:00,2026-01-23 16:18:00+00:00,101348.40204935148,745.7391644435993,0.7304426635823782
26,2026-02-24 21:07:00+00:00,2026-02-24 22:04:00+00:00,101202.70881065528,891.4324031397991,0.8731474622750905
27,2026-02-27 19:31:00+00:00,2026-02-27 20:04:00+00:00,101494.16663631082,599.9745774842595,0.5876679801124477
