trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100048.35308400056,0.0,0.0
2,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,100358.57352828626,0.0,0.0
3,2023-07-11 16:59:00+00:00,2023-07-11 19:10:00+00:00,101000.00045040596,0.0,0.0
4,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,101227.33191208192,0.0,0.0
5,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,101607.06819077831,0.0,0.0
6,2023-07-25 18:51:00+00:00,2023-07-25 21:08:00+00:00,101936.08291392923,0.0,0.0
7,2023-08-01 17:43:00+00:00,2023-08-01 18:21:00+00:00,102809.9036662658,0.0,0.0
8,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,103041.1441889907,0.0,0.0
9,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,103273.0665289452,0.0,0.0
10,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,103761.89654339653,0.0,0.0
11,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,103192.15708960235,569.7394537941873,0.5490835005660331
12,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,103473.21373237745,288.6828110190836,0.27821659071000815
13,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,104864.34848514549,0.0,0.0
14,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,106346.92987301634,0.0,0.0
15,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,107181.68959546328,0.0,0.0
16,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,107549.5924891688,0.0,0.0
17,2023-09-22 18:50:00+00:00,2023-09-24 21:03:00+00:00,107896.05939469257,0.0,0.0
18,2023-09-26 18:36:00+00:00,2023-09-26 22:00:00+00:00,108201.9538485001,0.0,0.0
19,2023-10-17 17:53:00+00:00,2023-10-17 19:52:00+00:00,108748.08068400706,0.0,0.0
20,2023-10-17 17:16:00+00:00,2023-10-17 22:00:00+00:00,108655.49970144471,92.5809825623437,0.0851334404984667
21,2023-10-17 20:32:00+00:00,2023-10-17 22:00:00+00:00,108865.33931711862,0.0,0.0
22,2023-10-31 20:48:00+00:00,2023-10-31 21:19:00+00:00,109261.04640947825,0.0,0.0
23,2023-10-31 20:35:00+00:00,2023-10-31 22:00:00+00:00,109412.50968877116,0.0,0.0
24,2023-11-10 17:29:00+00:00,2023-11-12 22:03:00+00:00,109816.53306776295,0.0,0.0
25,2023-11-17 18:59:00+00:00,2023-11-17 19:56:00+00:00,110217.4186376515,0.0,0.0
26,2024-01-12 19:28:00+00:00,2024-01-12 20:54:00+00:00,110696.80627081507,0.0,0.0
27,2024-01-12 19:15:00+00:00,2024-01-12 20:59:00+00:00,111184.21789356536,0.0,0.0
28,2024-01-26 19:04:00+00:00,2024-01-26 19:53:00+00:00,111516.13165558266,0.0,0.0
29,2024-01-26 18:51:00+00:00,2024-01-26 19:56:00+00:00,111766.38022655698,0.0,0.0
30,2024-01-26 18:32:00+00:00,2024-01-28 22:03:00+00:00,111311.57321516286,454.8070113941212,0.4069264929867111
31,2024-02-27 18:15:00+00:00,2024-02-27 19:26:00+00:00,112409.34707480636,0.0,0.0
32,2024-03-05 19:05:00+00:00,2024-03-05 22:04:00+00:00,112536.59174195239,0.0,0.0
33,2024-03-15 19:57:00+00:00,2024-03-17 21:04:00+00:00,113255.36007720903,0.0,0.0
34,2024-04-05 19:57:00+00:00,2024-04-07 21:04:00+00:00,113238.78111519723,16.578962011801195,0.014638567217038469
35,2024-04-12 18:24:00+00:00,2024-04-14 21:04:00+00:00,113701.9555279112,0.0,0.0
36,2024-04-12 18:36:00+00:00,2024-04-14 21:04:00+00:00,114158.93456288836,0.0,0.0
37,2024-04-19 18:16:00+00:00,2024-04-21 21:04:00+00:00,114138.40593842104,20.528624467318878,0.0179824947963315
38,2024-05-03 19:42:00+00:00,2024-05-03 20:50:00+00:00,114395.13327955635,0.0,0.0
39,2024-05-07 18:02:00+00:00,2024-05-07 21:19:00+00:00,114825.63253171615,0.0,0.0
40,2024-05-07 17:24:00+00:00,2024-05-07 22:00:00+00:00,114394.16325630058,431.4692754155694,0.3757604168184248
41,2024-05-28 17:05:00+00:00,2024-05-28 20:32:00+00:00,112684.71996836465,2140.912563351507,1.8644901109167957
42,2024-05-28 17:22:00+00:00,2024-05-28 22:00:00+00:00,111700.02720451282,3125.6053272033314,2.722044946140404
43,2024-06-04 17:54:00+00:00,2024-06-04 18:59:00+00:00,112569.83936697505,2255.7931647411024,1.9645379825084148
44,2024-06-07 20:02:00+00:00,2024-06-09 21:04:00+00:00,112077.65356287063,2747.9789688455203,2.3931755551936518
45,2024-06-14 20:37:00+00:00,2024-06-14 20:47:00+00:00,112329.90806821162,2495.7244635045354,2.1734907167310293
46,2024-06-14 20:49:00+00:00,2024-06-14 20:51:00+00:00,112582.73031926647,2242.902212449684,1.9533114366517155
47,2024-06-14 20:23:00+00:00,2024-06-16 21:04:00+00:00,112432.82333430488,2392.809197411276,2.0838632844024216
48,2024-06-18 18:01:00+00:00,2024-06-18 19:10:00+00:00,112891.90847370132,1933.7240580148355,1.684052606878276
49,2024-06-21 20:24:00+00:00,2024-06-21 20:36:00+00:00,111765.01701750209,3060.6155142140633,2.6654462481351335
50,2024-07-05 18:32:00+00:00,2024-07-07 21:04:00+00:00,111449.20469565525,3376.4278360609023,2.940482679360198
51,2024-07-23 16:48:00+00:00,2024-07-23 17:27:00+00:00,109779.50455567751,5046.127976038639,4.394600634701351
52,2024-09-03 19:53:00+00:00,2024-09-03 20:11:00+00:00,110224.95320537679,4600.679326339363,4.006665780890519
53,2024-09-06 20:37:00+00:00,2024-09-08 21:04:00+00:00,110059.96959565656,4765.662936059598,4.150347645368526
54,2024-09-06 20:48:00+00:00,2024-09-08 21:04:00+00:00,109986.7647541309,4838.867777585256,4.214100694153551
55,2024-09-24 16:57:00+00:00,2024-09-24 17:16:00+00:00,111000.26994588964,3825.362585826515,3.3314535278261204
56,2024-09-24 18:24:00+00:00,2024-09-24 18:52:00+00:00,111626.64374753801,3198.9887841781456,2.785953548563774
57,2024-09-27 18:41:00+00:00,2024-09-27 20:04:00+00:00,112524.06792350621,2301.564608209941,2.004399677549542
58,2024-10-15 18:37:00+00:00,2024-10-15 22:00:00+00:00,111717.44759170133,3108.1849400148203,2.7068737802566027
59,2024-11-08 20:44:00+00:00,2024-11-10 22:04:00+00:00,112121.8044933821,2703.8280383340607,2.3547251416945016
60,2024-12-17 17:11:00+00:00,2024-12-17 20:55:00+00:00,113295.95237296402,1529.6801587521331,1.3321765576424045
61,2024-12-24 19:06:00+00:00,2024-12-24 20:37:00+00:00,113998.60147357258,827.031058143577,0.7202495121593531
62,2024-12-27 20:00:00+00:00,2024-12-27 20:48:00+00:00,114255.17928241334,570.4532493028091,0.4967995705534157
63,2025-01-10 21:19:00+00:00,2025-01-12 22:04:00+00:00,114573.81023612634,251.82229558980907,0.21930843317606186
64,2025-01-14 17:27:00+00:00,2025-01-14 18:46:00+00:00,115540.56204720562,0.0,0.0
65,2025-02-11 19:35:00+00:00,2025-02-11 19:40:00+00:00,116386.30999763083,0.0,0.0
66,2025-02-11 18:30:00+00:00,2025-02-11 19:41:00+00:00,116885.29850798004,0.0,0.0
67,2025-02-14 19:44:00+00:00,2025-02-14 21:00:00+00:00,117394.413887321,0.0,0.0
68,2025-02-14 19:59:00+00:00,2025-02-14 21:00:00+00:00,117858.97559280036,0.0,0.0
69,2025-02-25 20:59:00+00:00,2025-02-25 22:04:00+00:00,118178.56809479508,0.0,0.0
