trade_id,setup_type,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,lor_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,trade_sequence_number,is_reentry,entry_hour_utc
1,D,2025-06-26,Thursday,short,2025-06-26 07:19:00+00:00,2025-06-26 09:21:00+00:00,144.0778646735465,144.0678646735465,144.0678646735465,143.8778646735465,143.67786467354648,20.0,10.498681105094075,525.5655536135228,BE_STOP,,17.799999999999727,15.113532645352734,32.58646735464765,720300,122,1,False,7
2,A,2025-07-01,Tuesday,short,2025-07-01 07:18:00+00:00,2025-07-01 12:00:00+00:00,143.34678327804374,142.7459754423665,143.33678327804375,142.94678327804374,142.54678327804373,40.0,50.040391783862496,1261.9920861028104,TP1_PARTIAL,50.19999999999811,,3.5216721956260244,64.07832780437559,360200,282,1,False,7
4,D,2025-07-02,Wednesday,long,2025-07-02 07:32:00+00:00,2025-07-02 08:08:00+00:00,144.00160603634265,143.80160603634266,143.80160603634266,144.20160603634264,144.40160603634266,20.0,-19.999999999998863,-1019.1819412847997,SL_FULL,56.800000000001205,13.899999999998158,19.960603634265794,5.139396365734683,732800,36,2,False,7
3,A,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 12:00:00+00:00,143.9715834007003,144.1740245576335,143.5715834007003,144.3715834007003,144.7715834007003,40.0,20.24411569331903,514.3381133470718,HARD_CLOSE,56.800000000001205,13.899999999998158,19.158340070029567,27.641659929969364,366300,269,1,False,7
5,D,2025-07-03,Thursday,short,2025-07-03 07:24:00+00:00,2025-07-03 07:49:00+00:00,143.70460405133426,143.848,143.848,143.5612081026685,143.41781215400275,14.339594866575567,-14.339594866575567,-1011.8102990360796,SL_FULL,48.500000000001364,7.00000000000216,14.53959486657368,3.0604051334250926,1015000,25,1,False,7
6,D,2025-07-03,Thursday,long,2025-07-03 07:51:00+00:00,2025-07-03 12:00:00+00:00,143.86370398642651,143.8560245576335,143.718,144.00940797285304,144.15511195927957,14.570398642652549,-0.7679428793011313,-52.848912851997596,HARD_CLOSE,48.500000000001364,7.00000000000216,12.570398642651526,5.229601357348201,990000,249,2,False,7
7,D,2025-07-09,Wednesday,short,2025-07-09 07:19:00+00:00,2025-07-09 07:57:00+00:00,146.68075346683966,146.868,146.868,146.49350693367933,146.306260400519,18.72465331603337,-18.72465331603337,-1000.8206588968459,SL_FULL,45.40000000000077,10.999999999998522,19.72465331603246,0.0,785000,38,1,False,7
8,D,2025-07-09,Wednesday,long,2025-07-09 07:58:00+00:00,2025-07-09 08:33:00+00:00,146.88857013283499,146.698,146.698,147.07914026566996,147.26971039850494,19.05701328349778,-19.05701328349778,-993.3944605850628,SL_FULL,45.40000000000077,10.999999999998522,18.257013283499646,0.0,764700,35,2,False,7
9,D,2025-07-09,Wednesday,short,2025-07-09 08:41:00+00:00,2025-07-09 12:00:00+00:00,146.6612436562633,146.7749754423665,146.8612436562633,146.46124365626332,146.2612436562633,20.0,-11.373178610318746,-558.0626541046754,HARD_CLOSE,45.40000000000077,10.999999999998522,12.075634373670141,12.224365626332201,720200,199,3,True,8
10,D,2025-07-10,Thursday,long,2025-07-10 07:33:00+00:00,2025-07-10 10:42:00+00:00,146.2956273120879,146.0956273120879,146.0956273120879,146.4956273120879,146.6956273120879,20.0,-19.999999999998863,-977.9895718218395,SL_FULL,,18.10000000000116,19.66273120879123,17.037268791210636,714400,189,1,False,7
11,D,2025-07-15,Tuesday,short,2025-07-15 07:47:00+00:00,2025-07-15 11:10:00+00:00,147.6392583124516,147.82,147.82,147.4585166249032,147.27777493735482,18.074168754839093,-18.074168754839093,-965.5778017654195,SL_FULL,,9.799999999998477,19.87416875483916,2.725831245160748,789700,203,1,False,7
12,D,2025-07-16,Wednesday,long,2025-07-16 07:25:00+00:00,2025-07-16 12:00:00+00:00,148.7574250223999,148.75702455763349,148.59,148.9248500447998,149.0922750671997,16.742502239989676,-0.040046476641464324,-2.2893388622939956,HARD_CLOSE,56.89999999999884,7.999999999998408,13.14250223998954,17.257497760010665,850400,275,1,False,7
13,D,2025-07-17,Thursday,long,2025-07-17 08:19:00+00:00,2025-07-17 08:52:00+00:00,148.79195989586145,148.59195989586146,148.59195989586146,148.99195989586144,149.19195989586146,20.0,-19.999999999998863,-958.4637022070702,SL_FULL,,14.999999999997726,19.995989586143992,0.0,712100,33,1,False,8
14,D,2025-07-22,Tuesday,short,2025-07-22 07:33:00+00:00,2025-07-22 11:39:00+00:00,147.7523726879121,147.3523726879121,147.7423726879121,147.5523726879121,147.3523726879121,20.0,29.99999999999972,1424.511289545656,TP2_FULL,53.79999999999825,14.19999999999959,6.362731208790251,44.837268791209794,700000,246,1,False,7
15,D,2025-07-23,Wednesday,short,2025-07-23 07:31:00+00:00,2025-07-23 07:45:00+00:00,146.6324165992997,146.83241659929968,146.83241659929968,146.4324165992997,146.23241659929968,20.0,-19.999999999998863,-960.4146227793175,SL_FULL,,16.499999999999204,19.958340070030545,1.441659929969319,705100,14,1,False,7
16,D,2025-07-23,Wednesday,short,2025-07-23 08:04:00+00:00,2025-07-23 08:33:00+00:00,146.66659491020073,146.86659491020072,146.86659491020072,146.46659491020074,146.26659491020072,20.0,-19.999999999998863,-950.9310138591079,SL_FULL,,16.499999999999204,19.940508979928495,2.3594910200728236,698300,29,2,True,8
17,D,2025-07-24,Thursday,long,2025-07-24 07:36:00+00:00,2025-07-24 12:00:00+00:00,146.39368205573535,146.4740245576335,146.40368205573535,146.59368205573534,146.79368205573536,20.0,14.017125094906646,659.9248024084629,TP1_PARTIAL,,18.999999999999773,8.268205573534715,26.63179442646424,690000,264,1,False,7
18,D,2025-07-29,Tuesday,long,2025-07-29 07:38:00+00:00,2025-07-29 07:58:00+00:00,148.74371017221029,148.5437101722103,148.5437101722103,148.94371017221027,149.1437101722103,20.0,-19.999999999998863,-950.5619580680691,SL_FULL,55.60000000000116,19.300000000001205,19.171017221029274,0.8289827789724313,706000,20,1,False,7
