trade_id,setup_type,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,lor_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,trade_sequence_number,is_reentry,entry_hour_utc
1,D,2025-06-26,Thursday,short,2025-06-26 07:19:00+00:00,2025-06-26 09:21:00+00:00,144.0778646735465,144.0678646735465,144.0678646735465,143.8778646735465,143.67786467354648,20.0,10.498681105094075,525.5655536135228,BE_STOP,,17.799999999999727,15.113532645352734,32.58646735464765,720300,122,1,False,7
2,A,2025-07-01,Tuesday,short,2025-07-01 07:18:00+00:00,2025-07-01 12:00:00+00:00,143.34678327804374,142.7459754423665,143.33678327804375,142.94678327804374,142.54678327804373,40.0,50.040391783862496,1261.9920861028104,TP1_PARTIAL,50.19999999999811,,3.5216721956260244,64.07832780437559,360200,282,1,False,7
3,A,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 12:00:00+00:00,143.9715834007003,144.1740245576335,143.5715834007003,144.3715834007003,144.7715834007003,40.0,20.24411569331903,514.3381133470718,HARD_CLOSE,56.800000000001205,13.899999999998158,19.158340070029567,27.641659929969364,366300,269,1,False,7
4,D,2025-07-03,Thursday,short,2025-07-03 07:24:00+00:00,2025-07-03 07:49:00+00:00,143.70460405133426,143.848,143.848,143.5612081026685,143.41781215400275,14.339594866575567,-14.339594866575567,-1021.9782448983141,SL_FULL,48.500000000001364,7.00000000000216,14.53959486657368,3.0604051334250926,1025200,25,1,False,7
5,D,2025-07-09,Wednesday,short,2025-07-09 07:19:00+00:00,2025-07-09 07:57:00+00:00,146.68075346683966,146.868,146.868,146.49350693367933,146.306260400519,18.72465331603337,-18.72465331603337,-1011.4025843348635,SL_FULL,45.40000000000077,10.999999999998522,19.72465331603246,0.0,793300,38,1,False,7
6,D,2025-07-09,Wednesday,short,2025-07-09 08:41:00+00:00,2025-07-09 12:00:00+00:00,146.6612436562633,146.7749754423665,146.8612436562633,146.46124365626332,146.2612436562633,20.0,-11.373178610318746,-569.6857307661169,HARD_CLOSE,45.40000000000077,10.999999999998522,12.075634373670141,12.224365626332201,735200,199,2,True,8
7,D,2025-07-15,Tuesday,short,2025-07-15 07:47:00+00:00,2025-07-15 11:10:00+00:00,147.6392583124516,147.82,147.82,147.4585166249032,147.27777493735482,18.074168754839093,-18.074168754839093,-995.6565834843371,SL_FULL,,9.799999999998477,19.87416875483916,2.725831245160748,814300,203,1,False,7
8,D,2025-07-22,Tuesday,short,2025-07-22 07:33:00+00:00,2025-07-22 11:39:00+00:00,147.7523726879121,147.3523726879121,147.7423726879121,147.5523726879121,147.3523726879121,20.0,30.001371553970362,1483.7982153885198,TP2_FULL,53.79999999999825,14.19999999999959,6.362731208790251,44.837268791209794,729100,246,1,False,7
9,D,2025-07-23,Wednesday,short,2025-07-23 07:31:00+00:00,2025-07-23 07:45:00+00:00,146.6324165992997,146.83241659929968,146.83241659929968,146.4324165992997,146.23241659929968,20.0,-19.999999999998863,-1000.4602757501187,SL_FULL,,16.499999999999204,19.958340070030545,1.441659929969319,734500,14,1,False,7
10,D,2025-07-23,Wednesday,short,2025-07-23 08:04:00+00:00,2025-07-23 08:33:00+00:00,146.66659491020073,146.86659491020072,146.86659491020072,146.46659491020074,146.26659491020072,20.0,-19.999999999998863,-990.4226355144339,SL_FULL,,16.499999999999204,19.940508979928495,2.3594910200728236,727300,29,2,True,8
11,D,2025-07-29,Tuesday,short,2025-07-29 08:13:00+00:00,2025-07-29 11:32:00+00:00,148.43887293264174,148.63887293264173,148.63887293264173,148.23887293264175,148.03887293264174,20.0,-19.999999999998863,-980.6317629039435,SL_FULL,55.60000000000116,19.300000000001205,19.61270673582476,8.287293264174878,728800,199,1,False,8
12,D,2025-08-07,Thursday,short,2025-08-07 07:37:00+00:00,2025-08-07 08:03:00+00:00,146.76430299999265,146.957,146.957,146.5716059999853,146.37890899997797,19.269700000734247,-19.269700000734247,-970.847654793146,SL_FULL,,11.699999999999022,18.369700000735634,7.430299999265344,740400,26,1,False,7
13,D,2025-08-12,Tuesday,short,2025-08-12 07:45:00+00:00,2025-08-12 08:30:00+00:00,148.23025131095918,148.362,148.362,148.09850262191836,147.96675393287754,13.174868904081904,-13.174868904081904,-961.5499959113444,SL_FULL,31.60000000000025,6.19999999999834,14.874868904081495,2.4251310959186867,1082800,45,1,False,7
14,A,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,36.44613898133997,870.2346090327702,TP1_PARTIAL,46.79999999999893,,1.1101778006718632,43.98982219932748,351600,286,1,False,7
15,D,2025-08-26,Tuesday,short,2025-08-26 07:27:00+00:00,2025-08-26 12:00:00+00:00,147.67351864399228,147.4739754423665,147.6635186439923,147.4735186439923,147.27351864399228,20.0,19.97715686394494,961.6480196718455,TP1_PARTIAL,,19.599999999999795,12.248135600771093,27.451864399228043,709900,273,1,False,7
16,D,2025-08-28,Thursday,short,2025-08-28 07:59:00+00:00,2025-08-28 12:00:00+00:00,147.18745482981706,146.9359754423665,147.17745482981707,146.98745482981707,146.78745482981705,20.0,22.574329519354354,1097.8503063487437,TP1_PARTIAL,49.00000000000091,10.300000000000864,18.35451701829527,37.94548298170639,714700,241,1,False,7
17,A,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,-40.00000000000057,-984.6034213513861,SL_FULL,43.59999999999786,16.70000000000016,40.73066033280952,4.869339667192207,366000,27,1,False,7
18,D,2025-09-03,Wednesday,short,2025-09-03 08:57:00+00:00,2025-09-03 12:00:00+00:00,148.57309243169664,148.6249754423665,148.77309243169663,148.37309243169665,148.17309243169663,20.0,-5.188301066985446,-252.1104558250972,HARD_CLOSE,43.59999999999786,16.70000000000016,16.390756830335818,13.90924316966391,722200,183,2,False,8
