trade_id,setup_type,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,risk_pct,pnl_pips,pnl_usd,exit_reason,asian_range_pips,lor_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,trade_sequence_number,is_reentry,margin_used_pct,entry_hour_utc
1,A,2025-07-01,Tuesday,short,2025-07-01 07:18:00+00:00,2025-07-01 12:00:00+00:00,143.34678327804374,142.7459754423665,143.33678327804375,142.94678327804374,142.54678327804373,40.0,0.02,50.04179270360352,2511.0914341039115,TP1_PARTIAL,50.19999999999811,,3.5216721956260244,64.07832780437559,716700,282,1,False,31.13231502284059,7
3,D,2025-07-02,Wednesday,long,2025-07-02 07:32:00+00:00,2025-07-02 08:08:00+00:00,144.00160603634265,143.80160603634266,143.80160603634266,144.20160603634264,144.40160603634266,20.0,0.0075,-19.999999999998863,-769.8105956620313,SL_FULL,56.800000000001205,13.899999999998158,19.960603634265794,5.139396365734683,553500,36,2,False,23.561349616835304,7
2,A,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 12:00:00+00:00,143.9715834007003,144.1740245576335,143.5715834007003,144.3715834007003,144.7715834007003,40.0,0.02,20.24411569331903,1036.1181922981282,HARD_CLOSE,56.800000000001205,13.899999999998158,19.158340070029567,27.641659929969364,737900,269,1,False,31.40432723237731,7
4,D,2025-07-03,Thursday,long,2025-07-03 07:51:00+00:00,2025-07-03 12:00:00+00:00,143.86370398642651,143.8560245576335,143.718,144.00940797285304,144.15511195927957,14.570398642652549,0.0075,-0.7679428793011311,-40.62426533370724,HARD_CLOSE,48.500000000001364,7.00000000000216,12.570398642651526,5.229601357348201,761000,249,1,False,32.27931661374653,7
5,D,2025-07-09,Wednesday,long,2025-07-09 07:58:00+00:00,2025-07-09 08:33:00+00:00,146.88857013283499,146.698,146.698,147.07914026566996,147.26971039850494,19.05701328349778,0.0075,-19.05701328349778,-771.5142802948461,SL_FULL,45.40000000000077,10.999999999998522,18.257013283499646,0.0,593900,35,1,False,25.731284163321614,7
6,D,2025-07-10,Thursday,long,2025-07-10 07:33:00+00:00,2025-07-10 10:42:00+00:00,146.2956273120879,146.0956273120879,146.0956273120879,146.4956273120879,146.6956273120879,20.0,0.0075,-19.999999999998863,-765.6628884657823,SL_FULL,,18.10000000000116,19.66273120879123,17.037268791210636,559300,189,1,False,24.316999839965618,7
7,D,2025-07-16,Wednesday,long,2025-07-16 07:25:00+00:00,2025-07-16 12:00:00+00:00,148.7574250223999,148.75702455763349,148.59,148.9248500447998,149.0922750671997,16.742502239989676,0.0075,-0.040046476641464324,-1.8152648104948743,HARD_CLOSE,56.89999999999884,7.999999999998408,13.14250223998954,17.257497760010665,674300,275,1,False,30.03579187543911,7
8,D,2025-07-17,Thursday,long,2025-07-17 08:19:00+00:00,2025-07-17 08:52:00+00:00,148.79195989586145,148.59195989586146,148.59195989586146,148.99195989586144,149.19195989586146,20.0,0.0075,-19.999999999998863,-759.9334451146074,SL_FULL,,14.999999999997726,19.995989586143992,0.0,564600,33,1,False,25.15564185045652,8
9,D,2025-07-24,Thursday,long,2025-07-24 07:36:00+00:00,2025-07-24 12:00:00+00:00,146.39368205573535,146.4740245576335,146.40368205573535,146.59368205573534,146.79368205573536,20.0,0.0075,14.01603986455927,527.2295627447613,TP1_PARTIAL,,18.999999999999773,8.268205573534715,26.63179442646424,551300,264,1,False,24.350001039208195,7
10,D,2025-07-29,Tuesday,long,2025-07-29 07:38:00+00:00,2025-07-29 07:58:00+00:00,148.74371017221029,148.5437101722103,148.5437101722103,148.94371017221027,149.1437101722103,20.0,0.0075,-19.999999999998863,-758.1606778868692,SL_FULL,55.60000000000116,19.300000000001205,19.171017221029274,0.8289827789724313,563100,20,1,False,25.138479766814427,7
11,D,2025-07-30,Wednesday,long,2025-07-30 07:25:00+00:00,2025-07-30 12:00:00+00:00,148.0334250223999,148.3030245576335,148.0434250223999,148.2334250223999,148.43342502239992,20.0,0.0075,23.47997676167921,880.7760071466416,TP1_PARTIAL,,16.800000000000637,17.842502239992086,32.6574977600103,556200,275,1,False,24.89884078182623,7
12,D,2025-07-31,Thursday,long,2025-07-31 07:18:00+00:00,2025-07-31 07:43:00+00:00,149.08921672195626,149.48921672195627,149.09921672195625,149.28921672195625,149.48921672195627,20.0,0.0075,30.001769598300903,1134.6349638017596,TP2_FULL,,18.099999999998317,5.921672195626115,47.178327804374476,565100,25,1,False,25.25569428436707,7
13,D,2025-08-05,Tuesday,long,2025-08-05 07:47:00+00:00,2025-08-05 12:00:00+00:00,147.4127416875484,147.6240245576335,147.42274168754838,147.61274168754838,147.8127416875484,20.0,0.0075,20.564143504255128,787.0787275935179,TP1_PARTIAL,,17.600000000001614,7.674168754837751,36.62583124516061,565000,253,1,False,24.690151856733916,7
14,D,2025-08-06,Wednesday,long,2025-08-06 07:24:00+00:00,2025-08-06 10:16:00+00:00,147.69339594866574,147.70339594866573,147.70339594866573,147.8647918973315,148.03618784599723,17.139594866574726,0.0075,9.068585205942266,408.30010004188466,BE_STOP,44.599999999999795,10.099999999999909,16.139594866572793,19.260405133425706,665700,172,1,False,28.92336408516451,7
