trade_id,setup_type,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,risk_pct,pnl_pips,pnl_usd,exit_reason,asian_range_pips,lor_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,trade_sequence_number,is_reentry,margin_used_pct,entry_hour_utc
2,D,2025-07-02,Wednesday,long,2025-07-02 07:32:00+00:00,2025-07-02 08:08:00+00:00,144.00160603634265,143.80160603634266,143.80160603634266,144.20160603634264,144.40160603634266,20.0,0.0075,-19.999999999998863,-751.0347274751525,SL_FULL,56.800000000001205,13.899999999998158,19.960603634265794,5.139396365734683,540000,36,2,False,23.563899169583344,7
1,A,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 12:00:00+00:00,143.9715834007003,144.1740245576335,143.5715834007003,144.3715834007003,144.7715834007003,40.0,0.02,20.24411569331903,1010.7031776882945,HARD_CLOSE,56.800000000001205,13.899999999998158,19.158340070029567,27.641659929969364,719800,269,1,False,31.403256282370933,7
3,D,2025-07-03,Thursday,long,2025-07-03 07:51:00+00:00,2025-07-03 12:00:00+00:00,143.86370398642651,143.8560245576335,143.718,144.00940797285304,144.15511195927957,14.570398642652549,0.0075,-0.7679428793011311,-39.63134636497274,HARD_CLOSE,48.500000000001364,7.00000000000216,12.570398642651526,5.229601357348201,742400,249,1,False,32.281149929032864,7
4,D,2025-07-09,Wednesday,long,2025-07-09 07:58:00+00:00,2025-07-09 08:33:00+00:00,146.88857013283499,146.698,146.698,147.07914026566996,147.26971039850494,19.05701328349778,0.0075,-19.05701328349778,-752.5479416986097,SL_FULL,45.40000000000077,10.999999999998522,18.257013283499646,0.0,579300,35,1,False,25.729007448661484,7
5,D,2025-07-10,Thursday,long,2025-07-10 07:33:00+00:00,2025-07-10 10:42:00+00:00,146.2956273120879,146.0956273120879,146.0956273120879,146.4956273120879,146.6956273120879,20.0,0.0075,-19.999999999998863,-746.9080492525135,SL_FULL,,18.10000000000116,19.66273120879123,17.037268791210636,545600,189,1,False,24.317034560074767,7
6,D,2025-07-16,Wednesday,long,2025-07-16 07:25:00+00:00,2025-07-16 12:00:00+00:00,148.7574250223999,148.75702455763349,148.59,148.9248500447998,149.0922750671997,16.742502239989676,0.0075,-0.040046476641464324,-1.7708456063228954,HARD_CLOSE,56.89999999999884,7.999999999998408,13.14250223998954,17.257497760010665,657800,275,1,False,30.03660741612525,7
7,D,2025-07-17,Thursday,long,2025-07-17 08:19:00+00:00,2025-07-17 08:52:00+00:00,148.79195989586145,148.59195989586146,148.59195989586146,148.99195989586144,149.19195989586146,20.0,0.0075,-19.999999999998863,-741.359088857821,SL_FULL,,14.999999999997726,19.995989586143992,0.0,550800,33,1,False,25.157040176596247,8
8,D,2025-07-24,Thursday,long,2025-07-24 07:36:00+00:00,2025-07-24 12:00:00+00:00,146.39368205573535,146.4740245576335,146.40368205573535,146.59368205573534,146.79368205573536,20.0,0.0075,14.017125094906646,514.3587807757556,TP1_PARTIAL,,18.999999999999773,8.268205573534715,26.63179442646424,537800,264,1,False,24.350229278216815,7
9,D,2025-07-30,Wednesday,long,2025-07-30 07:25:00+00:00,2025-07-30 12:00:00+00:00,148.0334250223999,148.3030245576335,148.0434250223999,148.2334250223999,148.43342502239992,20.0,0.0075,23.480613303980597,865.7556219065359,TP1_PARTIAL,,16.800000000000637,17.842502239992086,32.6574977600103,546700,275,1,False,24.899739469574026,7
10,D,2025-07-31,Thursday,long,2025-07-31 07:18:00+00:00,2025-07-31 07:43:00+00:00,149.08921672195626,149.48921672195627,149.09921672195625,149.28921672195625,149.48921672195627,20.0,0.0075,29.99999999999972,1115.0931790611123,TP2_FULL,,18.099999999998317,5.921672195626115,47.178327804374476,555400,25,1,False,25.254409981819947,7
11,D,2025-08-06,Wednesday,long,2025-08-06 07:24:00+00:00,2025-08-06 10:16:00+00:00,147.69339594866574,147.70339594866573,147.70339594866573,147.8647918973315,148.03618784599723,17.139594866574726,0.0075,9.068554587540213,398.2399879515056,BE_STOP,44.599999999999795,10.099999999999909,16.139594866572793,19.260405133425706,649300,172,1,False,28.923087037666285,7
12,D,2025-08-07,Thursday,long,2025-08-07 08:06:00+00:00,2025-08-07 10:02:00+00:00,146.98734414176812,147.38734414176812,146.9973441417681,147.1873441417681,147.38734414176812,20.0,0.0075,29.99999999999972,1132.2244182195764,TP2_FULL,,11.699999999999022,2.834414176811606,41.46558582318676,556000,116,1,False,24.551323240168646,8
13,A,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,0.02,36.44613898133997,1863.2326896469551,TP1_PARTIAL,46.79999999999893,,1.1101778006718632,43.98982219932748,752800,286,1,False,33.014144264882006,7
14,D,2025-08-14,Thursday,long,2025-08-14 07:52:00+00:00,2025-08-14 12:00:00+00:00,146.52968983824485,146.4870245576335,146.32968983824486,146.72968983824484,146.92968983824485,20.0,0.0075,-4.266528061134522,-166.2200165402013,HARD_CLOSE,,16.200000000000614,10.568983824484235,14.131016175514333,570700,248,1,False,24.397463014767908,7
15,D,2025-08-20,Wednesday,long,2025-08-20 07:32:00+00:00,2025-08-20 12:00:00+00:00,147.50160603634265,147.5310245576335,147.30160603634266,147.70160603634264,147.90160603634266,20.0,0.0075,2.9418521290835997,114.35914588733523,HARD_CLOSE,,12.79999999999859,13.360603634265544,19.43939636573475,573500,268,1,False,24.719341998304852,7
