trade_id,setup_type,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,risk_pct,pnl_pips,pnl_usd,exit_reason,asian_range_pips,lor_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,trade_sequence_number,is_reentry,margin_used_pct,entry_hour_utc
2,D,2025-07-02,Wednesday,long,2025-07-02 07:32:00+00:00,2025-07-02 08:08:00+00:00,144.00160603634265,143.80160603634266,143.80160603634266,144.20160603634264,144.40160603634266,20.0,0.0075,-19.999999999998863,-751.0347274751525,SL_FULL,56.800000000001205,13.899999999998158,19.960603634265794,5.139396365734683,540000,36,2,False,23.563899169583344,7
1,A,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 12:00:00+00:00,143.9715834007003,144.1740245576335,143.5715834007003,144.3715834007003,144.7715834007003,40.0,0.02,20.24411569331903,1010.7031776882945,HARD_CLOSE,56.800000000001205,13.899999999998158,19.158340070029567,27.641659929969364,719800,269,1,False,31.403256282370933,7
3,D,2025-07-09,Wednesday,long,2025-07-09 07:58:00+00:00,2025-07-09 08:33:00+00:00,146.88857013283499,146.698,146.698,147.07914026566996,147.26971039850494,19.05701328349778,0.0075,-19.05701328349778,-752.8077545560925,SL_FULL,45.40000000000077,10.999999999998522,18.257013283499646,0.0,579500,35,1,False,25.727716386667716,7
4,D,2025-07-16,Wednesday,long,2025-07-16 07:25:00+00:00,2025-07-16 12:00:00+00:00,148.7574250223999,148.75702455763349,148.59,148.9248500447998,149.0922750671997,16.742502239989676,0.0075,-0.040046476641464324,-1.7848443858195189,HARD_CLOSE,56.89999999999884,7.999999999998408,13.14250223998954,17.257497760010665,663000,275,1,False,30.034832591731053,7
5,D,2025-07-30,Wednesday,long,2025-07-30 07:25:00+00:00,2025-07-30 12:00:00+00:00,148.0334250223999,148.3030245576335,148.0434250223999,148.2334250223999,148.43342502239992,20.0,0.0075,23.480606849812776,874.6235572535716,TP1_PARTIAL,,16.800000000000637,17.842502239992086,32.6574977600103,552300,275,1,False,24.898641705619138,7
6,D,2025-08-06,Wednesday,long,2025-08-06 07:24:00+00:00,2025-08-06 10:16:00+00:00,147.69339594866574,147.70339594866573,147.70339594866573,147.8647918973315,148.03618784599723,17.139594866574726,0.0075,9.068553437998903,397.8719350701503,BE_STOP,44.599999999999795,10.099999999999909,16.139594866572793,19.260405133425706,648700,172,1,False,28.923120280911764,7
7,A,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,0.02,36.44613898133997,1840.957059722908,TP1_PARTIAL,46.79999999999893,,1.1101778006718632,43.98982219932748,743800,286,1,False,33.01613180742875,7
8,D,2025-08-20,Wednesday,long,2025-08-20 07:32:00+00:00,2025-08-20 12:00:00+00:00,147.50160603634265,147.5310245576335,147.30160603634266,147.70160603634264,147.90160603634266,20.0,0.0075,2.9418521290835997,113.18265249459716,HARD_CLOSE,,12.79999999999859,13.360603634265544,19.43939636573475,567600,268,1,False,24.722900077595224,7
9,D,2025-08-27,Wednesday,long,2025-08-27 07:30:00+00:00,2025-08-27 12:00:00+00:00,147.85255950631722,148.1340245576335,147.8625595063172,148.02111901263444,148.18967851895167,16.855950631722294,0.0075,22.50122788167488,1026.8184017903623,TP1_PARTIAL,56.60000000000025,8.799999999999386,10.855950631722067,33.144049368277706,675800,270,1,False,29.473286995295517,7
10,D,2025-09-03,Wednesday,long,2025-09-03 07:17:00+00:00,2025-09-03 07:35:00+00:00,148.8301872233061,148.8401872233061,148.8401872233061,149.0301872233061,149.2301872233061,20.0,0.0075,10.499999999998977,407.9622840665858,BE_STOP,43.59999999999786,16.70000000000016,1.618722330610467,30.78127766939076,579000,18,1,False,25.167022880610684,7
11,A,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,0.02,-40.00000000000057,-2080.5800165933388,SL_FULL,43.59999999999786,16.70000000000016,40.73066033280952,4.869339667192207,773400,27,2,False,33.67541176724803,7
12,D,2025-09-03,Wednesday,long,2025-09-03 07:41:00+00:00,2025-09-03 08:03:00+00:00,148.8477384884804,148.6477384884804,148.6477384884804,149.04773848848038,149.2477384884804,20.0,0.0075,-19.999999999998863,-782.2520623749996,SL_FULL,43.59999999999786,16.70000000000016,19.073848848037755,2.6261511519606984,581400,22,3,True,25.17533686762522,7
13,D,2025-09-17,Wednesday,long,2025-09-17 07:23:00+00:00,2025-09-17 08:43:00+00:00,146.66936643669018,146.4693664366902,146.4693664366902,146.86936643669017,147.0693664366902,20.0,0.0075,-19.999999999998863,-760.7051406763186,SL_FULL,39.19999999999959,13.000000000002387,21.236643669018918,1.263356330980514,557100,80,1,False,24.441817652697537,7
14,D,2025-09-24,Wednesday,long,2025-09-24 08:26:00+00:00,2025-09-24 11:28:00+00:00,148.13481687299583,148.44845061898747,148.14481687299582,148.29163374599165,148.44845061898747,15.681687299581881,0.0075,23.523631727647395,1129.1319037190096,TP2_FULL,59.30000000000177,8.599999999998431,2.281687299583268,32.71831270041616,712300,182,1,False,31.802005349205864,8
15,D,2025-10-08,Wednesday,long,2025-10-08 07:16:00+00:00,2025-10-08 09:03:00+00:00,152.49615815645078,152.88447446935234,152.50615815645077,152.69031631290156,152.88447446935234,19.415815645078283,0.0075,29.125344424007896,1141.4213679626434,TP2_FULL,59.00000000000034,12.300000000001887,14.6158156450781,39.78418435492301,598900,107,1,False,27.220590361109537,7
