trade_id,setup_type,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,risk_pct,pnl_pips,pnl_usd,exit_reason,asian_range_pips,lor_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,trade_sequence_number,is_reentry,margin_used_pct,entry_hour_utc
1,D,2025-06-30,Monday,long,2025-06-30 07:43:00+00:00,2025-06-30 12:00:00+00:00,144.0337476088545,144.3250245576335,144.0437476088545,144.2337476088545,144.4337476088545,20.0,0.0075,24.56469243940101,919.5084335229047,TP1_PARTIAL,,18.900000000002137,1.9747608854487453,31.425239114551573,540100,257,1,False,23.573523358649183,7
2,A,2025-07-01,Tuesday,short,2025-07-01 07:18:00+00:00,2025-07-01 12:00:00+00:00,143.34678327804374,142.7459754423665,143.33678327804375,142.94678327804374,142.54678327804373,40.0,0.02,50.04177992042878,2534.2151091963005,TP1_PARTIAL,50.19999999999811,,3.5216721956260244,64.07832780437559,723300,282,1,False,31.13274041568764,7
4,D,2025-07-02,Wednesday,long,2025-07-02 07:32:00+00:00,2025-07-02 08:08:00+00:00,144.00160603634265,143.80160603634266,143.80160603634266,144.20160603634264,144.40160603634266,20.0,0.0075,-19.999999999998863,-776.9037014215189,SL_FULL,56.800000000001205,13.899999999998158,19.960603634265794,5.139396365734683,558600,36,2,False,23.561785647434082,7
3,A,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 12:00:00+00:00,143.9715834007003,144.1740245576335,143.5715834007003,144.3715834007003,144.7715834007003,40.0,0.02,20.24411569331903,1045.6663745824853,HARD_CLOSE,56.800000000001205,13.899999999998158,19.158340070029567,27.641659929969364,744700,269,1,False,31.404947263538645,7
5,D,2025-07-03,Thursday,long,2025-07-03 07:51:00+00:00,2025-07-03 12:00:00+00:00,143.86370398642651,143.8560245576335,143.718,144.00940797285304,144.15511195927957,14.570398642652549,0.0075,-0.7679428793011311,-40.99794451548904,HARD_CLOSE,48.500000000001364,7.00000000000216,12.570398642651526,5.229601357348201,768000,249,1,False,32.279410853611694,7
6,D,2025-07-07,Monday,long,2025-07-07 07:43:00+00:00,2025-07-07 12:00:00+00:00,145.1697476088545,145.4840245576335,145.17974760885448,145.36974760885448,145.5697476088545,20.0,0.0075,25.713847438949244,997.8643604745781,TP1_PARTIAL,,9.600000000000364,5.774760885449837,36.225239114551755,564400,257,1,False,23.94682632196768,7
7,D,2025-07-09,Wednesday,long,2025-07-09 07:58:00+00:00,2025-07-09 08:33:00+00:00,146.88857013283499,146.698,146.698,147.07914026566996,147.26971039850494,19.05701328349778,0.0075,-19.05701328349778,-786.0638003138768,SL_FULL,45.40000000000077,10.999999999998522,18.257013283499646,0.0,605100,35,1,False,25.730023813329733,7
8,D,2025-07-10,Thursday,long,2025-07-10 07:33:00+00:00,2025-07-10 10:42:00+00:00,146.2956273120879,146.0956273120879,146.0956273120879,146.4956273120879,146.6956273120879,20.0,0.0075,-19.999999999998863,-780.1739319446617,SL_FULL,,18.10000000000116,19.66273120879123,17.037268791210636,569900,189,1,False,24.318039982047868,7
9,D,2025-07-14,Monday,long,2025-07-14 08:00:00+00:00,2025-07-14 08:08:00+00:00,147.38151903863636,147.206,147.206,147.55703807727272,147.7325571159091,17.551903863636653,0.0075,-17.551903863636653,-774.1838769248047,SL_FULL,,9.600000000000364,18.151903863636676,0.14809613636543872,649300,8,1,False,28.122931235034386,8
10,D,2025-07-16,Wednesday,long,2025-07-16 07:25:00+00:00,2025-07-16 12:00:00+00:00,148.7574250223999,148.75702455763349,148.59,148.9248500447998,149.0922750671997,16.742502239989676,0.0075,-0.040046476641464324,-1.835724565143786,HARD_CLOSE,56.89999999999884,7.999999999998408,13.14250223998954,17.257497760010665,681900,275,1,False,30.0361681164451,7
11,D,2025-07-17,Thursday,long,2025-07-17 08:19:00+00:00,2025-07-17 08:52:00+00:00,148.79195989586145,148.59195989586146,148.59195989586146,148.99195989586144,149.19195989586146,20.0,0.0075,-19.999999999998863,-768.5476393206532,SL_FULL,,14.999999999997726,19.995989586143992,0.0,571000,33,1,False,25.15756171724557,8
